"CUST_NO","TXN_DT","LN_AMT","LN_USE"
"73HM8HWXEPT_YEJS",9567,1050200,"18"
"URFVKR27IKYUKR9A",9508,879483,"06"
"966X5WKM9EMUHHF0",9526,805996,"06"
"JTZ11EX4L_IBL8XO",9511,917866,"14"
"Q3DHI8SLJ3PVG9YQ",9527,925966,"05"
"84_NBMOGB_IEBK-A",9564,1080978,"18"
"Z8XWXUIFHD13X8PA",9533,904731,"09"
"LIGM2QQTGXWUSDDE",9532,805996,"06"
"LFG4G39BEXZMOLB0",9556,904731,"18"
"RHC7BYGEOGFFBXHO",9519,904731,"05"
"XOX1YWZG1WQWPLXI",9452,848097,"08"
"CX5QEFKHRJKMFWBW",9490,848097,"06"
"YN9I9AIYLQ9EP71C",9464,1139478,"06"
"HC8ZUI7XTBVIURCK",9556,848097,"09"
"WIINAGZCJASAH9NW",9547,988495,"01"
"3_5JUCALKYAS2EXE",9452,810934,"02"
"LYFJUHJKPZB6OQPG",9512,805996,"14"
"MPCXTK02AAJMC52W",9556,988495,"06"
"7HELPTR8CDU-P7F4",9549,739437,"07"
"99S7KKTLNNT8GBGI",9471,824626,"05"
"9H6VZ0CPBJOA8E6I",9533,879483,"14"
"LQIMSIXEABQLEJ_Y",9480,848097,"14"
"CYTFJJQQ-2CYKWXW",9527,915763,"07"
"NXXYVJWLPA8EDF14",9465,904731,"03"
"LGWCNP9YICJ_I2BG",9526,828864,"11"
"I-YWSX6X6AK8YWZI",9472,848097,"04"
"LQTAZ5KOGORU_ZAQ",9533,848097,"14"
"QLEZBUTNJORIBEVO",9521,904731,"07"
"AHFAS3FBAKAPUZIU",9563,739437,"14"
"S30DWO8M8BMAX4NW",9470,988495,"14"
"GRTEKTQUU5MQS8MC",9476,944357,"07"
"ASDSUZ2EWDEZSBBQ",9539,848097,"06"
"H2TAH5HIYUH__C20",9528,925966,"06"
"L9ORB4UNU0RA5LBW",9476,1112753,"06"
"RCILUSKH3RRBZBHG",9470,848097,"07"
"PPDO7MU11QKLKQ4M",9567,892709,"02"
"POO142AT0UURMHWO",9527,805996,"18"
"0EWDWWSF1ILNTOXG",9477,739437,"14"
"TSXTRARGE8U9TJFI",9525,988495,"09"
"W5FMTMARDAAL8MBI",9567,925966,"02"
"2L_PR1XL9MYCA-9S",9529,935465,"06"
"PMTXDFBAQEGGWV_A",9557,777569,"06"
"GSLZNQUMQMT3JF9E",9455,828864,"14"
"PRLMMRI9ZJ7Z0MUM",9472,739437,"21"
"KAVHZHGTHVAPRVHC",9537,1041480,"14"
"V-EHJ-VAVXYPNX6E",9508,1218170,"06"
"CORIIEDGY5UPWAXS",9546,988495,"06"
"NLJIN1KWT62Y_M4K",9499,848097,"06"
"S-AKMOR2ZA2SW2BK",9520,904731,"18"
"J1UHVZ5RH-QHKS2Q",9511,828864,"06"
"S5L2AEBSRB7AW4BS",9525,848097,"04"
"FSIAICIWFCF_7FDI",9478,904731,"06"
"NGXS6HCY8IXCBNTK",9550,848097,"09"
"XBLVN5C5AANSBTYA",9484,960619,"05"
"20VMI_P-KI3ACGNY",9465,879483,"21"
"U1UJUHFWN6DEKNZI",9525,848097,"09"
"U7Q3YISWMW-_4H4I",9525,952720,"02"
"GTSM5A6IBCBFXICU",9507,879483,"05"
"AASG5LG9F8VNE1PC",9527,1080978,"06"
"E-BUXXHITLK_WSZ8",9485,904731,"02"
"8NVEC_HGVF1ZN774",9535,879483,"04"
"GCXVUTBCYQQZMJI8",9458,917866,"02"
"SE6MWSV446K770HE",9466,1006413,"01"
"LNDFCXNSDRNRA9JC",9490,739437,"14"
"TTDVPEVADSDMUDPU",9513,960619,"14"
"UH9ISK0HWQFVDWB8",9549,1000675,"14"
"4XH4W9GZDNHOXEQA",9525,879483,"04"
"5BJLWTBA2DDR_A80",9456,1011941,"07"
"BOFYJINDGJ8YKTE0",9563,879483,"05"
"8Q8K7TS5-6OYRQ44",9471,832959,"05"
"9GU_3E__2SKHAT6A",9527,848097,"14"
"AY_JMYU5LXMB5KQO",9508,904731,"09"
"OUY8XPNJ3G3QCGMO",9527,879483,"14"
"UJNTJHXKQ_NAQF3G",9567,777569,"14"
"HJDHAZXF40FQDMUC",9499,904731,"14"
"JDQGTWVWN7JD43RA",9469,864754,"08"
"6UZVU1GWPRTJ1J2I",9553,805996,"02"
"GOWNYUKC-89O5CCU",9546,777569,"14"
"ZD_ICSQWGYAFO7EK",9557,904731,"04"
"GIGAG84BWVD7L3ZS",9536,805996,"06"
"RLARFLFHXUO5YW5E",9486,988495,"14"
"VQSY0G1LP6UZE0RQ",9553,925966,"05"
"8JDW5ZT0NCIOPK-Y",9522,756311,"02"
"FXGEBATIBLPVNHSE",9553,864754,"05"
"B-CMVNK2CVGCDPO0",9456,739437,"06"
"HTVR2J6WNGNSYEHO",9476,975222,"05"
"N2TGKPIGSDQ3PXDA",9554,879483,"02"
"KATE2UZ9VYVY4JBM",9554,879483,"04"
"MPTF4ZBHWI6A4UII",9451,879483,"02"
"SL96XGZMCFJ4LHS8",9449,864754,"02"
"KSNNTCFTD0JEHRSC",9476,848097,"06"
"3IOX83HJ7CTSX6TK",9514,904731,"08"
"EGASHZORAB1QIG_I",9477,848097,"05"
"H8QVI6_1JUVN4HII",9562,805996,"02"
"AZTILUXKZRLZ69MC",9476,805996,"14"
"FMA3U_6QEAFKOFMW",9513,805996,"14"
"SAY0GIDW-RKZFKR4",9469,904731,"04"
"07KDZHCE4RIFGXYA",9485,988495,"06"
"K_JZP_VJMUSMW2MS",9512,739437,"14"
"MGLSIRWRAGOWK-W8",9470,777569,"02"
"U0HF2D_4S0LM8R2I",9455,1112753,"06"
"XALPISNIZYCGO1ZY",9548,904731,"02"
"SOQD2BWCHFR1VUNO",9514,805996,"02"
"RVXHNFKHWSB6KX4S",9484,904731,"04"
"G_7ZEVC7R3W2HSEA",9504,739437,"03"
"YMYUSMU6JNEEZKTK",9463,848097,"02"
"D2UZYWQ2FFZVISTG",9528,925966,"08"
"HVHOEXI5QK-AXNT0",9473,739437,"03"
"HI_IFKXNRL4BAWHY",9480,848097,"02"
"ACWUAISGPDXMPAJ4",9483,915763,"14"
"NOQUIALGFLVQYZT4",9470,879483,"06"
"LNE7ZND0VMLI6E3Y",9547,975222,"06"
"URZH5SKRANT1OILQ",9487,848097,"14"
"5DV7KOBF1NQ3YEFW",9455,925966,"18"
"8TD2HT-6IMHGZ4WI",9487,1022428,"02"
"ZYRKMV8YMZ2IQLKK",9470,960619,"06"
"BWA0B_TFPKHV64XS",9507,828864,"07"
"PP6F8NQJGHSQXI3E",9458,848097,"05"
"_VNBSP9X1JL39GG0",9480,848097,"06"
"DOBQUTLB1J7X5J8G",9562,892709,"06"
"SX3RZ1S9XOMRQG2A",9537,864754,"02"
"DOPQM08EEDA1K97O",9464,904731,"02"
"MQNNX7HA1D1EEGDC",9459,879483,"18"
"BO2DICLEFPTTVDFG",9547,848097,"04"
"SNQRFUSNG-GPNADG",9471,848097,"18"
"ET0QW9WBSOLZRQFU",9555,1000675,"06"
"M_RJRMGZPWIXUDT0",9476,739437,"14"
"4KUXAPUXUVTRBPHO",9504,925966,"14"
"C_ABDMEDAFP9-ASO",9483,864754,"09"
"YP4MCYWRGTMOM69A",9555,960619,"02"
"-8Y21REVKR7_ORTK",9525,925966,"06"
"O_HTPZSVE19GO3WM",9480,1080978,"02"
"QCE9YYAAD7PWWYMU",9560,904731,"07"
"BKJL-ZJ3FKRI44QS",9532,1041480,"05"
"5O64KZKGVAQEBZFY",9547,925966,"02"
"HWWVCSCBMSKUJGPY",9560,805996,"09"
"ISJZFXQFSGVIOQPI",9480,777569,"14"
"SDC9OAZNOXAN0F_O",9526,988495,"18"
"CQQB8TA1IT6LQRLQ",9554,988495,"05"
"L_QY-WYGZHNM7COC",9537,828864,"02"
"DVMAQJNEPNQSKRPO",9450,988495,"04"
"LDJW3HGBUNZKUSRS",9540,944357,"06"
"TXGXZVQUOPVIORI0",9537,848097,"05"
"HQ7CD2OPSR-AIOES",9537,848097,"05"
"PCK-DAYAHE02_Y6C",9521,904731,"06"
"672KCNLYBCI8O8H0",9455,864754,"06"
"S48T5GVCV8YDTJWK",9462,805996,"14"
"OBBAXZVH6QS0LVKS",9560,925966,"14"
"HEICI_FFCDGJQMCC",9473,777569,"14"
"Q_BWAENTVQD7QIVQ",9479,904731,"06"
"2AEXRPCUYVLHGYGE",9547,805996,"05"
"JLEDOUWRU-CMKISU",9450,960619,"02"
"DETN3NWXJILVRXVA",9514,960619,"14"
"ZYM5Y9GYE9BZDUU8",9529,739437,"14"
"__NMSGMTWSCREURS",9478,848097,"04"
"6ZIJJBYDMWUNEVNC",9567,805996,"05"
"NNMRIBQ4PV7AW6US",9567,904731,"06"
"MXNSSJVTWKLDRSWC",9527,944357,"14"
"838ENIVIUHUQSTE0",9486,864754,"02"
"EN9UUQDCWMCBECR0",9484,828864,"02"
"AFXB8AAKXXVXCLQM",9477,1006413,"05"
"DZYU_VUEOVFMM5TY",9557,848097,"18"
"2COJHZZ4NYIKDLD8",9485,925966,"14"
"PD4C4CGPTEA7N8JC",9515,879483,"05"
"QDLZ1R15_WVIJEEQ",9499,879483,"09"
"LCEQMEYGUJAZMBYE",9462,864754,"14"
"GYOC8FERGUE6EIJC",9567,864754,"02"
"DOQBHU4NA3GIGCGI",9561,925966,"14"
"ARB-8CXZWBRMFK3Q",9553,1139478,"06"
"P5GICZVQIUG9KT80",9520,805996,"04"
"EDVKHXGIJTWHJ2JM",9514,805996,"11"
"EZ8AR0YH5G0QUBZM",9479,925966,"05"
"VNTRSXVGNPWJJD_C",9462,892709,"02"
"NYFS9Q2C1WFWVS9Y",9553,1139478,"06"
"0KUFYFDKY3DNWA9Q",9548,848097,"02"
"YN70X4CHTSOOO_-0",9519,805996,"14"
"STCCKZGU2APQZEYY",9527,925966,"18"
"FKCQJIJIDUCEAMEQ",9549,988495,"06"
"KVTECQIBB06VPLG8",9466,848097,"14"
"FEL2GSWU5CT066VI",9537,879483,"06"
"EQLPUVYEOXM3VEXU",9563,988495,"06"
"BT20QGFRNGB7KQLE",9469,848097,"14"
"ALIOBWYTVCWF1OES",9459,904731,"01"
"WRDPNZVJBSIH8FAE",9456,739437,"07"
"SIY4TE6OZG4E6ZTE",9455,848097,"07"
"J_0VOYDRPEF_Z1M0",9459,777569,"06"
"GY1KCPFZ2EEOXKD8",9540,904731,"02"
"Y6UT-JHYY7EBZHBM",9532,864754,"02"
"LQEN17UATHF_FUGS",9528,879483,"05"
"REB5R1BYLFQPGOJY",9479,739437,"06"
"VJZYGMKRZZKMNC9S",9555,1017275,"06"
"QIVS1R-YKSEEQC0O",9458,864754,"14"
"OBQ7BRNNJVG04NOU",9563,805996,"14"
"7CLREAHBDB7J_OPW",9564,1139478,"05"
"NEUA7TO7QTZRFL70",9560,960619,"07"
"TBFR8GI8YOFLWRLC",9515,1139478,"06"
"FVSKQYM1GQV-W8RA",9477,904731,"11"
"G2OPT0HKOEKLOEK4",9500,848097,"02"
"BPCNXSJ5XQCB2EEU",9469,739437,"14"
"ASD9CHA1K4DVKW7M",9480,848097,"14"
"MCAB60EV3OBCM6EU",9485,879483,"21"
"41259PXBSKZ1OPFM",9455,1080978,"07"
"JXWX7AGYYGG2WRW4",9554,1011941,"06"
"UCMT28Q_UBBUTT08",9479,879483,"05"
"JRQ7JFABNIJ0CKGG",9483,777569,"14"
"8AIQY2QSU7WJ6TAM",9561,1139478,"14"
"YNDLWKO1TLYWTYFG",9505,1011941,"06"
"J7BG5ZGGDB88LUSK",9567,925966,"03"
"ALTFVNOGQRJQE6IO",9451,777569,"05"
"8SOMMAIG-BBVXODC",9456,828864,"02"
"XFILM7PA9HVX9YDK",9464,879483,"14"
"MECPT_UHAQLF3CPO",9557,1153728,"18"
"R-DZ7U7L-VZ2IC9E",9450,848097,"14"
"NTUDQVB03OL-DKTW",9484,828864,"14"
"RSKVSFZLM2CYBE4W",9550,904731,"05"
"8KXRUR6G3JEENRAE",9555,960619,"02"
"TFJRK3KJO7AB9BYY",9563,848097,"14"
"ECJKI88YBCQ_QROE",9470,1123949,"05"
"XYNEJWEYNDKVNWDM",9563,805996,"02"
"5CIAML_LWAZBQ2FG",9511,904731,"05"
"CMYLXK20KI2IJYJO",9536,991012,"16"
"7YSVYZENME3ZC6R0",9466,904731,"02"
"47LML06QRLAK3URI",9550,805996,"04"
"ZOVKSDC3GFGXIJ7C",9547,805996,"14"
"5YFK8D36RCWXDXCA",9471,848097,"07"
"KGMNDUTZD-NJ0DMY",9536,864754,"02"
"AAB05FPUQH9QTU8G",9470,848097,"02"
"LIQUYEYZ3VRZ0CSI",9519,805996,"02"
"P53TQRKPSA8XAW1W",9455,848097,"14"
"7KJYGBBIS1RCR3HE",9462,1032246,"02"
"CYAJBCDWUH2C6BRO",9515,904731,"02"
"EK6GB0FTF5MD1JGQ",9478,904731,"14"
"V_9MVHUU1IXAV4HK",9500,925966,"02"
"SXHRWBECP_Z2PRCW",9548,777569,"14"
"TOOOVDZCRZRTABJE",9547,879483,"11"
"6TET0JWS1WGKNFGU",9536,1041480,"05"
"UEHUQ2Z-E26FSH_C",9532,1041480,"14"
"BALU0JDI0OHY7AYW",9492,988495,"06"
"J6OKMS-ZQV9NTPIU",9477,1050200,"06"
"WXHH2RWPZ18GGOAM",9557,848097,"06"
"IKNDALVHKDUFEFMY",9527,879483,"02"
"GG7VYFTYORER2DUY",9534,739437,"14"
"-9T_SPNI7FYYNHBW",9555,879483,"14"
"HPP4DKN7R4FPOVLI",9526,848097,"07"
"BB-4_YKNRS5HSDKK",9469,879483,"05"
"7KJMSRIBFKYGSEDA",9512,805996,"14"
"MVGX4QBATDF1HRIM",9560,756311,"14"
"OKU3NRZ3NPTHPG68",9463,848097,"05"
"Z8MQ6Y7YD7KQN7M4",9459,777569,"06"
"PI00FSQ1PTCNUDSO",9456,988495,"05"
"V3G7LJYOEIAMLE6A",9464,777569,"04"
"Y2GYQMDL3-I_DIWQ",9504,935465,"02"
"7Q3GX9S8NZJH7FZM",9540,1112753,"06"
"YV9CUUZRUWDGI1ZA",9539,960619,"06"
"_VD3ASKRZPLOKSA0",9465,805996,"04"
"9BVFQMCZO0QGW-WG",9464,904731,"05"
"W1GDSEPLDSCQULHO",9549,805996,"05"
"MQOK1V63MJHBIQ3A",9527,805996,"18"
"KV4TL6KNNRNDAAZG",9526,848097,"03"
"OMP6TCSSO_LD2-L4",9504,1118444,"06"
"HBK-Y5PS7WPBLFOY",9550,988495,"04"
"GRJ279SNACSEOMQA",9554,828864,"02"
"3MUXAETJXUL_B8ZI",9557,1139478,"06"
"L-CC-IYOT4RRSURE",9548,904731,"02"
"FCM8QWCW2T1MWAHO",9535,1066324,"02"
"MW27CO2PG6YRPQWS",9550,988495,"18"
"BIZSZPP4ZRKZG6EA",9511,805996,"14"
"U-JZUXGBBX3PQWFQ",9560,1032246,"14"
"7_K_EOGBPUMEFIAE",9557,805996,"05"
"ZMZCPTREBOMRYV_K",9519,848097,"05"
"PS7YMXTVVLJFCYQ4",9449,1139478,"06"
"N9PDVVZCPKUPU32U",9556,1155994,"18"
"0HWSAK6RRXISGURM",9491,805996,"06"
"TWMWMVXR9H1WUTM0",9521,848097,"11"
"L0CHID3YUFFSUXMG",9473,1139478,"06"
"K76D1BC8NCKEQXO0",9462,805996,"05"
"KIZH91QC3GGEE2AM",9525,925966,"14"
"CNAXPAWAWWVIDLBY",9527,805996,"14"
"ZISWGO3XMQMXKJXI",9546,739437,"09"
"YFPRV1AZMXC_E964",9532,739437,"19"
"KEFZ5J0GUVLW5TDG",9562,1050200,"06"
"YWLZWPVSFCJIAXLK",9553,1139478,"06"
"_HLXSNBSPNSBD2EO",9536,805996,"05"
"U5TGXNSVZK_BE9P8",9548,988495,"09"
"0YE5RK27M3Q5QFJS",9483,1134456,"01"
"_JDX0IGAR00ZDWGQ",9550,805996,"18"
"H6ACHLZJ5MBHV-GU",9520,960619,"06"
"OH4X1F3MQLBSQ7PI",9550,1183088,"06"
"MDS8J5ILRIYGAT-Q",9499,988495,"04"
"HWPCLYACGNDTBUS8",9519,1080978,"01"
"LSANBGSPI9FDE7HQ",9533,1218170,"01"
"ADVXCUPAQIAHF4WS",9562,988495,"06"
"3LRNJLQQBSAALNOY",9564,1139478,"14"
"BDMPL28SMHZA3ZEU",9534,864754,"05"
"ATWMFONP78ZJ7QGI",9546,879483,"05"
"7UKM0BHRNB9_KQOU",9479,904731,"07"
"9BKILZ9CYQ5XG3KG",9529,988495,"06"
"QYRSILXQIYSSNBEW",9547,864754,"14"
"1MPHNAXZ1CUK7_JC",9533,777569,"02"
"PWH4NJBK_1IKPYTM",9547,805996,"14"
"UI6FWPCW3JG9YJF4",9457,988495,"18"
"Y0YDVWK0N6JU9878",9535,879483,"02"
"R-DDRNKPYYVJSKZI",9486,925966,"19"
"LQOCTHXROBS8MFKM",9520,828864,"08"
"X1RCUDGD9TI4GMHO",9463,904731,"07"
"80KS094U9JCQEJAO",9521,1139478,"06"
"1UHDULC-UPRFQUAO",9521,988495,"06"
"FO3XMUBEQUWVTER0",9487,879483,"18"
"UA7K6PMMBFX6LZGY",9486,904731,"14"
"R120FDCTHQZQMH1G",9462,848097,"14"
"OINKDX3-QYATULN4",9525,925966,"18"
"ZHYERZ-ZPTLQJWBG",9500,805996,"14"
"F_XLVMWZ-3_5END4",9483,904731,"05"
"3TDD75KDZPM-YXRQ",9548,988495,"18"
"CEYRJBF6FCCBPF_U",9487,848097,"11"
"_NKWL7NAYYMYRBWC",9519,848097,"06"
"TZNKMGT9FY-2Q7_M",9471,848097,"14"
"WKPHEUZVQRP1M8I8",9518,879483,"07"
"RUAJSWRMKGMMIXHI",9483,848097,"02"
"VJHVUCBG-RNSZUPM",9508,777569,"05"
"Q7IOB-VXMFV_V_DM",9487,783845,"05"
"QZINAXYIPG2W2SVY",9487,848097,"02"
"IZ-OCK4IPUOHLN1M",9512,925966,"02"
"ASEKZYACDF6NDM_Q",9473,1218170,"09"
"6YDHQ8GG1P_-TDLI",9533,864754,"14"
"5BHTHRUA7KSDNMS4",9465,879483,"04"
"AMMELLU4SPOLJAVE",9505,1183088,"02"
"PG8KUFIHRW0TV-B0",9452,988495,"14"
"3PPGAAMSP8U570IO",9557,988495,"06"
"PTHHBIL4VUJV-DKK",9539,904731,"08"
"EY7VGVTWQKYTSUUI",9484,777569,"05"
"7II8VLTCOHOOXCTC",9473,848097,"05"
"WL3B_Z3RMKLYY_L8",9567,828864,"06"
"MOCZAUVJ_CNHJXPY",9478,756311,"03"
"N-CEZCGU0XOTFP3Y",9540,892709,"02"
"ZPMDCV6OTBLHP_KW",9539,848097,"06"
"UBX1QVWL1AIRFS3Q",9548,960619,"09"
"AE6DNYMCW6CFDVMC",9521,805996,"14"
"FOWXMTWLYFNCSIBK",9547,805996,"04"
"-2OG-Z-JBNTWCIOQ",9556,777569,"14"
"ZEJGGETUW95MRNQI",9473,925966,"04"
"JHQA_Y5WMZMVZUYW",9466,739437,"14"
"PXCPLMVI7O8CIJD0",9512,805996,"06"
"TVUOOJS2KWJR1YZM",9463,739437,"05"
"G02MH8EICGASDNRE",9522,805996,"14"
"GLMMG6VIBH6FV7AA",9549,904731,"14"
"L1KQATN4YITHWHMS",9473,848097,"05"
"RS2YLLXRMC1M6_VU",9526,848097,"07"
"GMR_KHR9MLBU5AWC",9469,805996,"14"
"HCFBYRV806WYLOHC",9504,904731,"14"
"WEPGEEQTNK2S32PG",9514,1080978,"04"
"HS8GILA04R-FMNZG",9533,848097,"05"
"40LEL7CEYKHAIFFE",9486,988495,"18"
"ONDRON-JW-JWTH_0",9532,777569,"18"
"CWSJXB5GEVK8NJUI",9455,739437,"21"
"NFMWWVQ02_IYJDJM",9564,944357,"06"
"63LIA8UH2-ZYDTHS",9548,988495,"14"
"WDUO_OZS2-OD8EJI",9532,879483,"02"
"2WFJ8BPHC1PEBPXS",9483,848097,"14"
"1FMM1ICYARWLP21W",9463,805996,"05"
"SCL7ABPNLGV49CRM",9469,925966,"05"
"OZGLKQSKZIFTHDMQ",9553,805996,"02"
"V0RKWEOZ5-FPUBAS",9501,828864,"14"
"FTJLK7WH2HVR0PIE",9563,988495,"06"
"Y02JZAN5OOFWMC_U",9463,904731,"07"
"WXW-YGL0RSF9KLDY",9487,988495,"14"
"5L_ZL_XDPNY_H-DY",9546,848097,"18"
"6YK4LHLHBJSAL7BM",9462,805996,"11"
"PEEG9JE0N28KKD_W",9528,805996,"05"
"FBQFXSYKNFQ_13TY",9547,805996,"09"
"OGUIHNCXK1BMC-CW",9477,864754,"05"
"H1CKDGJZQVUP1RI8",9527,904731,"02"
"_D-0ZXCP6D4SJZSS",9560,960619,"14"
"MW_JUYN7MMFC5S4S",9505,848097,"06"
"TYPBKHS217RJVERA",9555,1080978,"14"
"ODLIZ02NR6HKQDZG",9553,879483,"14"
"XN43J0MCUYLTSCGQ",9533,892709,"06"
"FYJV0KWT2X1CV9NK",9536,944357,"02"
"P2UWBR6S2JDFHEIW",9505,848097,"18"
"RDI0KKKONEQ1QIPG",9485,879483,"06"
"YCARVCFGPUZPHXWC",9507,879483,"14"
"TDPBNIYXT7BMHHDY",9520,960619,"02"
"AA0O6UXYV2EJEBP8",9449,904731,"02"
"_WXUJ80596DR0FQU",9550,1139478,"06"
"OMR3DNBTAF-PZ_JK",9548,848097,"14"
"IUD8JEWVYPIMCDWA",9476,848097,"06"
"2PJKZ-MKIHQTDUUA",9492,828864,"05"
"ZBOY4T_BU2TMK7ES",9528,1058465,"06"
"JNIOVMZWTBS1QDK0",9463,879483,"18"
"UAQU9A-MZOHZ0STC",9526,879483,"02"
"RR4MMKYRSD1KVF-8",9466,848097,"11"
"-ZLA7WKVPAE4SZM8",9483,777569,"14"
"_IY951ELG2JDHZT0",9471,904731,"05"
"NLC6FGU0BLHFMWRI",9564,805996,"14"
"GT_45IZ4MUY631CC",9458,848097,"14"
"WTV-FLCDDAEA2BTA",9553,848097,"08"
"DE4CKMY5FF_31A84",9473,988495,"11"
"AICRZX2P6YB5QT1O",9557,1218170,"14"
"HD0BIQ6EZJBP2QDC",9505,904731,"14"
"M2XKBRYWNNF9ZK7G",9507,904731,"02"
"G0APEVCJCQVWJ5HE",9532,805996,"06"
"4-ETKGC_4_CMJXYK",9513,944357,"14"
"QO7MZU3VHDW8RFOS",9456,904731,"07"
"YKY8ZHZOY7THNS18",9557,1032246,"08"
"-EFNP1NTGHSEK__C",9472,848097,"02"
"JR27A7WEZH5FC7MG",9548,904731,"04"
"UF4L6MEQMO6MYU2Q",9487,805996,"14"
"E00MORNGTMO3GQEY",9514,848097,"05"
"WFOLXYZJODMZE-IU",9518,982008,"02"
"B34FGEAQCRPVPJWQ",9563,777569,"14"
"QM87NEJSQD2XMAY8",9561,904731,"06"
"_OWU6L1SWA4GYK0S",9465,904731,"14"
"E4VXHIEGAEFYBPNS",9553,848097,"14"
"RKYMBNQBDW8WJQ84",9504,1139478,"01"
"EUUKQXL9_KRW16JS",9532,904731,"06"
"OQS9ENMVR6ZLQSQ4",9508,810934,"02"
"UZNUPFSOOHNR059W",9469,848097,"05"
"8DSF6UZ51E_V4OH0",9525,864754,"14"
"OCT4OE-8SWSPS6BW",9549,1139478,"06"
"MC0NAHVD3Q9WVBP8",9546,988495,"14"
"NZK2T4L9MB848QCM",9466,828864,"14"
"QMEME2PVNQT_HXGU",9450,1032246,"06"
"5VLIHO3PV0Y-DAHQ",9521,925966,"05"
"QDCTG2OXR9ICVC2Y",9562,1139478,"14"
"SFMI6D1LKIBZN0FA",9547,904731,"05"
"LBJTDUFGSSUTYHES",9521,848097,"06"
"C4EMJVYCLCMO8NN0",9486,988495,"05"
"7HYCBLE25RSW5PQY",9561,805996,"07"
"UPTHXC8GSNFRYMP0",9562,1112753,"14"
"5KP6PSVUIL0NMKHG",9560,988495,"14"
"8ORHZF0VKPREG3_E",9490,805996,"18"
"R-DDRNKPYYVJSKZI",9480,848097,"05"
"BPIUBWPNXQCR_CQY",9499,879483,"08"
"HXFVP0FSZGGFZW1Y",9470,828864,"02"
"MWGLN9L0EHGE2UMI",9485,848097,"05"
"GKZ6UYESK6NBECFO",9464,944357,"08"
"5P9TK46E9ODT0FJM",9534,1183088,"01"
"MW_GPQO_XRKJEYPQ",9462,805996,"05"
"SMNKJFARTN_IADXK",9464,1153728,"01"
"OH-SAVYU9TSQYRBW",9478,915763,"01"
"BEQJZXT1VZAVN4JW",9456,805996,"14"
"Q_BPLCKYH9MT4T08",9557,879483,"05"
"USYQFMDPZEKUOFC8",9471,848097,"18"
"THVSJNV07ZNQQVAY",9451,848097,"05"
"ZT0MIBAJOEK6EUX4",9507,848097,"14"
"SD17CHIMF_JBV6EC",9486,1218170,"11"
"9LQ4FIV-GMRTCLOE",9478,879483,"08"
"QJORCGOGOH0P4RWA",9554,848097,"05"
"BFBOT588TDLWFTL8",9514,1080978,"14"
"YZAOBL11HR6T31RK",9463,1000675,"05"
"YSN8_QYPTJVXEOVY",9547,879483,"14"
"LGCLDRAMRSIBNTBK",9556,1218170,"06"
"AWC_B-AERZLJMFC4",9473,988495,"14"
"LJ5G6K3SSABMTUJA",9563,777569,"14"
"TJSD13-RGZQ8CZOS",9528,879483,"06"
"CG0SEDJT7NETECJO",9512,925966,"14"
"SYDUNEDVFU0RQAKW",9449,925966,"06"
"RSS2BQCKAP8EYSBE",9547,988495,"06"
"IT3AA8O0PQTZZ7BS",9521,904731,"02"
"F29BXIFL0QQ232_S",9492,777569,"14"
"QQDYQ-ITTOWG5HTG",9485,904731,"06"
"Y_ELNCA_BAMFALKO",9487,1080978,"16"
"VPQXIW8RBHPGAGEM",9470,925966,"05"
"WFAYDU1QV1U9GRL8",9504,879483,"02"
"YGUPGDFQ8ODSE0UE",9561,925966,"05"
"OK9AQ_9UFKEJO5SS",9483,848097,"18"
"LDFQGL_2X66WO41Y",9514,805996,"06"
"1JGHQJHHBD7B3XBE",9518,805996,"04"
"BFCBI9M5UGUEYN8Y",9486,848097,"06"
"XJW3BAA34DIMLSXS",9548,848097,"14"
"FWLZYOSV2EXR60E0",9512,915763,"02"
"NS9AZW5XWTHTPXQ4",9490,879483,"05"
"TUN7KHWE8U2QMLDI",9455,879483,"15"
"ZNJ06JZYG0QVKRA8",9499,805996,"06"
"JN-AYACOO0BTPNYC",9490,848097,"05"
"C2PBCG6LYRGJODHM",9556,904731,"02"
"JAAU22OUPUIFX_0C",9555,904731,"14"
"YH4AG6S3NS4JBBYQ",9473,739437,"08"
"UYFBWSSZNNCRCJNO",9548,1080978,"06"
"5CXECBCTNRW8HGW0",9540,1139478,"05"
"GKEMTYKQME7P2XTK",9536,1014097,"16"
"QSIBYOL2YDXBQGNO",9464,739437,"14"
"J23UQ8V1MGQIFQ9O",9549,828864,"03"
"VROWIJFAX0BGP8KK",9452,805996,"10"
"LISALEHBTL2FRNB4",9456,739437,"05"
"HO7H07CJN9-BQOSI",9456,777569,"07"
"8FU73UFIKUYFS90K",9463,777569,"19"
"VBPQF85I5LIO-AIW",9547,935465,"06"
"P0ZG7HLJQKL2DPKC",9476,960619,"02"
"MW_JUYN7MMFC5S4S",9550,904731,"09"
"OZ2L6NFOFTKEZRVG",9490,1032246,"07"
"LIVW63XK1UTDTXUO",9562,879483,"14"
"LC5UHD-H66BXLRZS",9465,904731,"07"
"IF68K24EUSEBPNU0",9459,1080978,"14"
"EYQR5CIWN__KDDNM",9484,904731,"05"
"74IFED1FGB-ZI3G8",9500,925966,"05"
"NFRPZNA05KPWU7PC",9563,988495,"06"
"OBBAXZVH6QS0LVKS",9561,925966,"06"
"U-7-WMLCTOD04_0A",9471,1139478,"06"
"UKBFMQOZ9IH-3UFO",9533,828864,"02"
